"","RAF_cat","mean_b","lb_b","ub_b","ct","Gender","condition"
"42","(10,200]",20.2230240062348,16.7584797870904,25.7782992821283,8800,"male","Trauma"
"43","(0,0.25]",-12.9272327147943,-20.4607947242274,-8.58655891475606,8800,"female","Trauma"
"44","(0.25,1]",-12.052241965544,-19.1584099571554,-7.93997105777208,8800,"female","Trauma"
"45","(1,2]",-19.9199709433664,-29.1285298329972,-15.0258151883285,8800,"female","Trauma"
"46","(2,5]",-28.6089135082459,-41.8406792870676,-21.5774478515471,8800,"female","Trauma"
"47","(5,10]",-43.9971145583102,-64.0518549849616,-33.2969976986286,8800,"female","Trauma"
"48","(10,200]",-67.820872581186,-98.6585945096419,-51.3557757470235,8800,"female","Trauma"
"49","(0,0.25]",2.0944123017896,1.20346049805824,3.28384118117285,8800,"male","Asthma"
"50","(0.25,1]",2.09033917037922,1.21717181504253,3.24402482030212,8800,"male","Asthma"
"51","(1,2]",4.51665335046116,3.53196756973038,6.41951051467734,8800,"male","Asthma"
"52","(2,5]",6.70232968691873,5.1799361250485,9.94638557633192,8800,"male","Asthma"
"53","(5,10]",10.3795090023729,8.02336527988626,15.393744633905,8800,"male","Asthma"
"54","(10,200]",18.7342099674922,14.4002079282351,28.2837629672666,8800,"male","Asthma"
"55","(0,0.25]",5.15177201284252,3.36633182037272,8.27532434510658,8800,"female","Asthma"
"56","(0.25,1]",5.00912429586392,3.27684437071309,8.04796566526565,8800,"female","Asthma"
"57","(1,2]",8.63452890863595,6.10369434925241,13.461753892668,8800,"female","Asthma"
"58","(2,5]",13.123495843898,9.316871369013,20.3471074746111,8800,"female","Asthma"
"59","(5,10]",21.7958613038923,15.495772654941,33.7719157984511,8800,"female","Asthma"
"60","(10,200]",30.6913454321434,21.8211167846938,47.5635832603029,8800,"female","Asthma"
"61","(0,0.25]",3.75405913747095,2.13129971075686,5.86280648731804,8800,"male","ASD"
"62","(0.25,1]",3.41022177381707,1.93728164299355,5.32363958692282,8800,"male","ASD"
"63","(1,2]",9.32931207302195,7.12671688751001,13.4642574274367,8800,"male","ASD"
"64","(2,5]",15.6218368329801,11.7683579337971,23.4234895788218,8800,"male","ASD"
"65","(5,10]",24.3295013106457,18.4801790546231,35.5919461130967,8800,"male","ASD"
"66","(10,200]",44.8819146654902,34.3859342529294,64.8552048300459,8800,"male","ASD"
"67","(0,0.25]",3.91956481722128,2.58132853544829,5.69153430689418,8800,"female","ASD"
"68","(0.25,1]",4.18129090548586,2.74447643956871,6.09840572245581,8800,"female","ASD"
"69","(1,2]",5.05371543744707,3.38180258778812,8.06175105497402,8800,"female","ASD"
"70","(2,5]",7.33199629789692,4.87515373736602,11.7771917557907,8800,"female","ASD"
"71","(5,10]",12.1075986026293,8.01882005103266,19.5108698983187,8800,"female","ASD"
"72","(10,200]",20.8738680502795,13.8460593737814,33.6024376285773,8800,"female","ASD"
